	latitude	longitude	radius	station	records
214	30.2	-97.6667	5.0	AUSTIN (BERGSTROM FIELD)	1076
215	30.35	-87.3167	5.0	PENSACOLA FOREST SHERMAN NAS	3463
216	30.4	-88.9167	5.0	BILOXI (KEESLER AFB)	2014
217	30.483	140.3	5.0	TORISHIMA	6556
218	30.5333	-91.15	5.0	BATON ROUGE (HARDING FIELD)	1485
219	30.8333	-93.3667	5.0	DE RIDDER (AFB)	1154
220	31.017	46.233	5.0	NASIRIYA	750
221	31.11	29.8	5.0	DEKHEILA/AL DAKHELA	527
222	31.25	32.3	5.0	BUR SAID	3793
223	31.2667	-89.25	5.0	HATTIESBURG	1210
224	31.367	130.833	5.0	KANOYA AB	464
225	31.4167	-100.4	5.0	MATHIS FLD/S.ANGELO	2501
226	31.4667	-109.6167	5.0	DOUGLAS (AAF)	1752
227	31.5167	-103.1333	5.0	PYOTE (AFB)	1395
228	31.62	25.93	5.0	SIDI BARRANI	1563
229	31.933	34.833	5.0	BEER-YA AQOV TO 401790	2572
230	32.0167	-81.1333	5.0	SAVANNAH HUNTER AFB	1973
231	32.1667	-110.8833	5.0	TUCSON (DAVIS-MONTHAN AFB)	236
232	32.2333	-101.5	5.0	BIG SPRING	13868
233	32.25	-107.7167	5.0	DEMING AAF	518
234	32.283	-9.233	5.0	SAFI	1179
235	32.35	-104.25	5.0	CARLSBAD AAF	2356
236	32.35	-88.65	5.0	MERIDIAN (KEY FIELD)	2282
237	32.383	111.667	5.0	GUANGHUA	3239
238	32.4167	-99.6833	5.0	ABILENE MUNI AP	19791
239	32.5	-106.4167	5.0	FRYE SITE	155
240	32.5	-93.6667	5.0	SHREVEPORT BARKSDALE AFB	8274
241	32.5	-85.7667	5.0	TUSKEGEE (AAF)	1157
242	32.5167	-92.05	5.0	MONROE (SELMAN FIELD)	2178
243	32.7333	-117.1667	5.0	SAN DIEGO (LINDBERGH FIELD)	248
244	32.7333	-96.9667	5.0	DALLAS HENSLEY FIELD	505
245	32.8667	-116.4167	5.0	MOUNT LAGUNA	605
246	32.9	13.2833	5.0	WHEELUS	18584
247	32.9167	-80.6333	5.0	WALTERBORO AAF	499
248	32.917	129.917	5.0	NAGASAKI AIRPORT	506
249	33.033	40.283	5.0	RUTBAH	2392
250	33.37	43.57	5.0	AL HABBANIYAH	5634
251	33.4	-117.5	5.0	CAMP PENDLETON	207
252	33.45	-94.0	5.0	TEXARKANA	6925
253	33.4667	-82.0333	5.0	AUGUSTA DANIEL FIELD	2266
254	33.48	-90.98	5.0	GREENVILLE	2188
255	33.5	-90.0833	5.0	GREENWOOD AAF	1164
256	33.567	-86.75	5.0	BIRMINGHAM MUNI	14141
257	33.6	-114.75	5.0	BLYTHE	2084
258	33.6333	-88.45	5.0	COLUMBUS AAF	401
259	33.6833	-78.9333	5.0	MYRTLE BEACH AAF	2003
260	33.7167	-96.6667	5.0	SHERMAN PERRIN FIELD	1179
261	33.8	-106.6667	5.0	STALLION SITE	610
262	33.883	-5.533	5.0	MEKNES	2167
263	33.98	-98.5	5.0	WICHITA FALLS	113
264	34.0	134.633	5.0	KOMATSUSHIMA AB	445
265	34.0	164.0	5.0	OCEAN WEATHER SHIP V	12375
266	34.05	131.05	5.0	OZUKI AB	303
267	34.217	-4.0	5.0	TAZA	2441
268	34.25	108.93	5.0	SIAN	196
269	34.3	-97.0167	5.0	ARDMORE AFB	1195
270	34.65	-99.2667	5.0	ALTUS AFB (OKLA)	2675
271	34.6667	-87.3333	5.0	COURTLAND (AAF)	1491
272	34.683	32.817	5.0	EPISKOPI	4391
273	34.8	-79.3667	5.0	LAURINBURG (MAXTON AAB)	2054
274	34.9	-120.45	5.0	SANTA MARIA/PUBLIC (CAL)	9786
275	35.0	-48.0	5.0	OCEAN WEATHER SHIP E	8767
276	35.0333	-85.2	5.0	CHATTANOOGA	8998
277	35.117	36.75	5.0	HAMA	741
278	35.183	-3.85	5.0	AL HOCEIMA	4040
279	35.2	-80.95	5.0	CHARLOTTE MORRIS FIELD	602
280	35.2667	-116.0833	5.0	BAKER	592
281	35.2667	-113.95	5.0	KINGMAN (AAF)	1831
282	35.3333	-94.3667	5.0	FT SMITH CAMP CHAFFEE	5244
283	35.533	35.767	5.0	LATTAKIA	458
284	35.8	140.017	5.0	SHIMOFUSA AB	467
285	35.867	-78.783	5.0	RALEIGH/RALEIGH-DUR	9591
286	35.933	39.017	5.0	RAQQA	252
287	35.9667	-116.2667	5.0	SHOSHONE	313
288	35.9667	-83.9167	5.0	KNOXVILLE (ISLAND AIRPORT)	5122
289	35.983	129.417	5.0	POHANG AB	862
290	36.0333	-102.5333	5.0	DALHART	2180
291	36.2	-95.883	5.0	TULSA INTL ARPT(AW)	8677
292	36.217	1.333	5.0	CHLEF	3213
293	36.25	-119.95	5.0	LEMOORE	1341
294	36.317	43.15	5.0	MOSUL	884
295	36.333	-97.667	5.0	ENID/VANCE AFB	1147
296	36.6667	-121.6167	5.0	SALINAS (AAB)	782
297	36.7	119.1167	5.0	WEI HSIEN	254
298	36.75	-104.5	5.0	RATON	5905
299	36.77	3.05	5.0	ALGER	2691
300	36.867	30.733	5.0	ANTALYA	1476
301	36.883	6.9	5.0	SKIKDA	639
302	36.8833	-76.2	5.0	NORFOLK/MUNI (VA)	27148
303	37.05	41.217	5.0	KAMISHLI	136
304	37.1	-113.6	5.0	ST. GEORGE	591
305	37.3333	-79.2	5.0	LYNCHBURG	4148
306	37.3667	-120.5667	5.0	CASTLE AFB	3294
307	37.367	-118.367	5.0	BISHOP AIRPORT	1144
308	37.433	-105.867	5.0	ALAMOSA MUNI(AWOS)	921
309	37.47	15.07	5.0	CATANIA	912
310	37.4833	116.3667	5.0	TE HSIEN/TECHOW	498
311	37.65	-97.433	5.0	WICHITA/MID-CONTINE	23414
312	37.78	12.45	5.0	MARSALA	112
313	37.783	-81.117	5.0	BECKLEY	114
314	37.783	-0.8	5.0	MURCIA/SAN JAVIER	1000
315	37.85	91.65	5.0	MANGYA	1192
316	38.0	-71.0	5.0	OCEAN WEATHER SHIP H	3274
317	38.05	-103.52	5.0	LA JUNTA	164
318	38.0667	-117.0833	5.0	TONAPAH APRT (NEV)	3624
319	38.1833	-85.7333	5.0	LOUISVILLE	7439
320	38.2	15.55	5.0	MESSINA	5442
321	38.373	-81.6	5.0	YEAGER	1619
322	38.417	-113.017	5.0	MILFORD MUNICIPAL	774
323	38.72	-9.15	5.0	LISBOA/GEOFISICO	669
324	38.7333	-93.5667	5.0	KNOBNOSTER SEDALIA AFB	1436
325	38.7667	-87.6167	5.0	LAWRENCEVILLE GEORGE FIELD	1385
326	38.8	-97.63	5.0	SALINA	3551
327	38.817	-92.217	5.0	COLUMBIA REGIONAL	19320
328	38.8833	-79.85	5.0	ELKINS	10236
329	38.95	-121.07	5.0	AUBURN	133
330	38.95	-95.6667	5.0	TOPEKA (FORBES AFB)	1930
331	39.2	45.417	5.0	NAXCIVAN	914
332	39.283	109.75	5.0	CHASAKOCHI	3515
333	39.367	-101.7	5.0	GOODLAND/RENNER FIE	8448
334	39.6667	118.1167	5.0	TANG SHAN	251
335	39.7167	-104.9	5.0	DENVER (LOWRY FIELD)	878
336	39.8333	-89.6667	5.0	SPRINGFIELD	11873
337	39.867	4.233	5.0	MENORCA/MAHON	165
338	39.9	116.47	5.0	PEIPING	701
339	39.983	46.75	5.0	KHANKANDY	657
340	40.12	-103.17	5.0	AKRON	214
341	40.2	-8.417	5.0	COIMBRA	458
342	40.2167	-76.85	5.0	HARRISBURG	11420
343	40.217	69.733	5.0	KHUDJAND	382
344	40.3833	-75.9667	5.0	READING AAF	1035
345	40.433	-80.0	5.0	PITTSBURGH/EMSU	544
346	40.617	47.15	5.0	EVLAKH AIRPORT	164
347	40.733	-114.033	5.0	WENDOVER/AF. AUX. F	1089
348	40.783	43.833	5.0	GUMRI	147
349	40.95	-5.5	5.0	SALAMANCA/MATACAN	173
350	40.97	107.17	5.0	XAMBA	1094
351	41.0	-85.2	5.0	FORT WAYNE/BAER FLD	9534
352	41.0333	-81.4833	5.0	AKRON	11543
353	41.1167	122.95	5.0	AN SHAN	362
354	41.22	-103.1	5.0	SYDNEY	677
355	41.25	-76.917	5.0	WILLIAMSPORT/LYCOMI	463
356	41.3667	-71.4833	5.0	POINT JUDITH	1724
357	41.45	31.8	5.0	ZONGULDAK	304
358	41.5	-88.1667	5.0	JOLIET	7402
359	41.5	-74.1	5.0	NEWBURGH/STEWART AFB	3104
360	41.533	-93.65	5.0	DES MOINES INTL	11917
361	41.55	46.667	5.0	ZAKATALA	424
362	41.6	-109.0667	5.0	ROCK SPRINGS	20297
363	41.6	-83.8	5.0	TOLEDO EXPRESS	14112
